Date,Transect,Plot_Name,L_R,Meter_no,COL_pres,T_F,Tag_ID,M_lugubris,L_dentiens,L_plena,L_keenae,L_limatula,L_scabra,Nuttallina_sp,Mopalia_sp,P_crassipes,T_eiseni,T_funebralis,T_gallina,L_gigantea
2023_09,CNM_1,CNM_1_E_1,L,1,Y,TRUE,D002,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_C_1,R,1,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023_09,CNM_1,CNM_1_E_2,R,2,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_C_2,L,2,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023_09,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,0,0,2,4,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_E_4,R,4,Y,TRUE,D003,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_E_5,L,5,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023_09,CNM_1,CNM_1_C_5,R,5,N,FALSE,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_E_6,L,6,Y,TRUE,D004,0,0,0,0,0,0,0,0,0,0,0,0,1
2023_09,CNM_1,CNM_1_C_6,R,6,N,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_E_7,L,8,Y,TRUE,D035,0,0,0,0,0,1,0,0,0,0,0,0,1
2023_09,CNM_1,CNM_1_C_7,R,8,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_E_8,L,10,Y,TRUE,D005,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_1,CNM_1_C_8,R,10,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023_09,CNM_2,CNM_2_E_1,R,2,Y,TRUE,D023,6,0,0,0,6,6,0,0,0,0,0,0,6
2023_09,CNM_2,CNM_2_C_1,L,2,N,FALSE,0,1,0,0,0,0,1,0,0,0,0,0,0,4
2023_09,CNM_2,CNM_2_E_2,R,4,Y,TRUE,D024,0,0,0,0,0,0,0,0,0,0,0,0,1
2023_09,CNM_2,CNM_2_C_2,L,4,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_2,CNM_2_E_3,R,5,Y,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2023_09,CNM_2,CNM_2_C_3,L,5,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_2,CNM_2_E_4,L,6,Y,TRUE,D027,0,0,0,0,0,0,0,0,0,0,0,0,4
2023_09,CNM_2,CNM_2_C_4,R,6,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_2,CNM_2_E_5,R,8,Y,TRUE,D025,0,0,0,0,5,4,0,0,0,0,0,0,13
2023_09,CNM_2,CNM_2_C_5,L,8,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_2,CNM_2_E_6,R,9,Y,TRUE,0,0,0,0,0,2,0,0,0,0,0,0,0,2
2023_09,CNM_2,CNM_2_C_6,L,9,N,FALSE,0,0,0,0,0,0,2,0,0,0,0,1,0,1
2023_09,CNM_2,CNM_2_E_7,R,10,Y,TRUE,D026,0,0,0,0,0,0,0,0,0,0,0,0,2
2023_09,CNM_2,CNM_2_C_7,L,10,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_E_1,R,0,Y,TRUE,D062,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_C_1,R,0,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_E_2,R,1,Y,TRUE,D086,0,0,0,0,1,1,0,0,0,0,0,0,3
2023_09,CNM_3,CNM_3_C_2,L,1,N,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_E_3,R,2,Y,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023_09,CNM_3,CNM_3_C_3,L,2,N,FALSE,0,0,0,0,0,3,1,0,0,0,0,0,0,3
2023_09,CNM_3,CNM_3_E_4,L,3,Y,TRUE,D061,3,0,0,0,1,5,0,0,0,0,0,0,2
2023_09,CNM_3,CNM_3_C_4,R,3,N,FALSE,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_E_5,L,5,Y,TRUE,D059,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_C_5,R,5,N,FALSE,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2023_09,CNM_3,CNM_3_E_6,L,6,Y,TRUE,D044,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_C_6,R,6,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_3,CNM_3_E_7,L,9,Y,TRUE,D045,0,0,0,0,0,0,0,0,2,0,0,0,1
2023_09,CNM_3,CNM_3_C_7,R,9,N,FALSE,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_1,R,0,Y,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2023_09,CNM_4,CNM_4_C_1,L,0,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_2,R,2,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_C_2,L,2,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_3,R,4,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023_09,CNM_4,CNM_4_C_3,L,4,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_4,R,5,Y,TRUE,D073,0,0,0,0,0,0,0,0,0,0,0,0,3
2023_09,CNM_4,CNM_4_C_4,L,5,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_5,L,6,Y,TRUE,D088,0,0,0,0,0,0,0,0,0,0,0,0,3
2023_09,CNM_4,CNM_4_C_5,R,6,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_6,L,7,Y,TRUE,D068,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_C_6,R,7,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_E_7,R,10,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_4,CNM_4_C_7,L,10,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_5,CNM_5_E_1,R,0,Y,TRUE,D133,0,0,0,0,0,0,0,0,0,0,0,0,2
2023_09,CNM_5,CNM_5_C_1,L,0,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_5,CNM_5_E_2,L,2,Y,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_5,CNM_5_C_2,R,2,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_5,CNM_5_E_3,R,6,Y,TRUE,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2023_09,CNM_5,CNM_5_C_3,L,6,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_5,CNM_5_E_4,R,8,Y,TRUE,0,0,0,3,0,1,0,0,0,0,0,0,0,1
2023_09,CNM_5,CNM_5_C_4,L,8,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023_09,CNM_6,CNM_6_E_1,L,5,Y,TRUE,D141,0,0,0,0,0,0,0,0,0,0,5,0,0
2023_09,CNM_6,CNM_6_C_1,R,5,N,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023_09,CNM_6,CNM_6_E_2,L,8,Y,TRUE,D147,1,0,0,0,0,0,1,0,0,0,2,0,0
2023_09,CNM_6,CNM_6_C_2,R,8,N,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023_09,CNM_6,CNM_6_E_3,L,9,Y,TRUE,D154,0,0,0,0,0,0,0,0,0,0,1,0,2
2023_09,CNM_6,CNM_6_C_3,R,9,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_1,R,0,Y,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_1,L,0,N,FALSE,0,0,0,0,0,15,0,0,0,0,0,0,0,14
2024_02,CNM_1,CNM_1_E_2,L,1,Y,TRUE,D019,2,0,0,0,3,0,0,0,0,0,1,0,3
2024_02,CNM_1,CNM_1_C_2,R,1,N,FALSE,0,0,0,0,0,12,0,0,0,0,0,0,0,11
2024_02,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,0,0,4,0,0,0,0,0,0,0,13
2024_02,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,3,0,0,7,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_4,R,4,Y,TRUE,0,0,0,0,2,0,1,0,0,0,2,0,0,0
2024_02,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_5,L,8,Y,TRUE,0,0,0,0,0,1,0,0,0,0,0,3,3,6
2024_02,CNM_1,CNM_1_C_5,R,8,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_6,R,9,Y,TRUE,0,0,0,0,3,2,2,0,0,0,0,0,0,1
2024_02,CNM_1,CNM_1_C_6,L,9,N,FALSE,0,0,0,0,2,15,0,0,0,0,0,0,0,9
2024_02,CNM_1,CNM_1_E_7,R,10,Y,TRUE,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_7,L,10,N,FALSE,0,0,0,0,0,1,2,0,0,0,0,0,0,0
